timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:52:45.135, NVIDIA GeForce RTX 5080 Laptop GPU, 53 %, 5095 MiB, 16303 MiB, 55
2026/09/23 21:52:47.138, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5148 MiB, 16303 MiB, 56
2026/09/23 21:52:49.138, NVIDIA GeForce RTX 5080 Laptop GPU, 88 %, 5148 MiB, 16303 MiB, 57
2026/09/23 21:52:51.139, NVIDIA GeForce RTX 5080 Laptop GPU, 48 %, 5146 MiB, 16303 MiB, 57
2026/09/23 21:52:53.139, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5197 MiB, 16303 MiB, 57
2026/09/23 21:52:55.139, NVIDIA GeForce RTX 5080 Laptop GPU, 67 %, 5146 MiB, 16303 MiB, 57
2026/09/23 21:52:57.139, NVIDIA GeForce RTX 5080 Laptop GPU, 48 %, 5146 MiB, 16303 MiB, 57
2026/09/23 21:52:59.139, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5198 MiB, 16303 MiB, 58
2026/09/23 21:53:01.140, NVIDIA GeForce RTX 5080 Laptop GPU, 80 %, 5146 MiB, 16303 MiB, 59
2026/09/23 21:53:03.140, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5094 MiB, 16303 MiB, 58
2026/09/23 21:53:05.140, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5198 MiB, 16303 MiB, 59
2026/09/23 21:53:07.140, NVIDIA GeForce RTX 5080 Laptop GPU, 79 %, 5146 MiB, 16303 MiB, 59
2026/09/23 21:53:09.140, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5197 MiB, 16303 MiB, 59
2026/09/23 21:53:11.141, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5197 MiB, 16303 MiB, 59
2026/09/23 21:53:13.141, NVIDIA GeForce RTX 5080 Laptop GPU, 79 %, 5160 MiB, 16303 MiB, 60
2026/09/23 21:53:15.141, NVIDIA GeForce RTX 5080 Laptop GPU, 43 %, 5159 MiB, 16303 MiB, 60
2026/09/23 21:53:17.141, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5201 MiB, 16303 MiB, 60
2026/09/23 21:53:19.142, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5150 MiB, 16303 MiB, 61
2026/09/23 21:53:21.142, NVIDIA GeForce RTX 5080 Laptop GPU, 52 %, 5150 MiB, 16303 MiB, 60
2026/09/23 21:53:23.142, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5201 MiB, 16303 MiB, 61
2026/09/23 21:53:25.142, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5150 MiB, 16303 MiB, 61
2026/09/23 21:53:27.143, NVIDIA GeForce RTX 5080 Laptop GPU, 44 %, 5150 MiB, 16303 MiB, 61
2026/09/23 21:53:29.143, NVIDIA GeForce RTX 5080 Laptop GPU, 80 %, 5150 MiB, 16303 MiB, 62
2026/09/23 21:53:31.143, NVIDIA GeForce RTX 5080 Laptop GPU, 54 %, 5150 MiB, 16303 MiB, 62
2026/09/23 21:53:33.144, NVIDIA GeForce RTX 5080 Laptop GPU, 74 %, 5150 MiB, 16303 MiB, 65
2026/09/23 21:53:35.144, NVIDIA GeForce RTX 5080 Laptop GPU, 88 %, 5150 MiB, 16303 MiB, 62
2026/09/23 21:53:37.144, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5150 MiB, 16303 MiB, 63
2026/09/23 21:53:39.144, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5150 MiB, 16303 MiB, 62
2026/09/23 21:53:41.144, NVIDIA GeForce RTX 5080 Laptop GPU, 52 %, 5150 MiB, 16303 MiB, 62
2026/09/23 21:53:43.145, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5201 MiB, 16303 MiB, 62
2026/09/23 21:53:45.145, NVIDIA GeForce RTX 5080 Laptop GPU, 45 %, 5208 MiB, 16303 MiB, 62
2026/09/23 21:53:47.145, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5208 MiB, 16303 MiB, 62
2026/09/23 21:53:49.146, NVIDIA GeForce RTX 5080 Laptop GPU, 76 %, 5156 MiB, 16303 MiB, 62
2026/09/23 21:53:51.146, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5153 MiB, 16303 MiB, 63
2026/09/23 21:53:53.146, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5202 MiB, 16303 MiB, 63
2026/09/23 21:53:55.146, NVIDIA GeForce RTX 5080 Laptop GPU, 68 %, 5150 MiB, 16303 MiB, 63
2026/09/23 21:53:57.147, NVIDIA GeForce RTX 5080 Laptop GPU, 75 %, 5201 MiB, 16303 MiB, 64
2026/09/23 21:53:59.147, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5207 MiB, 16303 MiB, 64
2026/09/23 21:54:01.147, NVIDIA GeForce RTX 5080 Laptop GPU, 94 %, 5158 MiB, 16303 MiB, 64
2026/09/23 21:54:03.148, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5158 MiB, 16303 MiB, 64
2026/09/23 21:54:05.148, NVIDIA GeForce RTX 5080 Laptop GPU, 95 %, 5150 MiB, 16303 MiB, 64
2026/09/23 21:54:07.148, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5099 MiB, 16303 MiB, 64
2026/09/23 21:54:09.148, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5150 MiB, 16303 MiB, 64
2026/09/23 21:54:11.149, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5202 MiB, 16303 MiB, 64
2026/09/23 21:54:13.149, NVIDIA GeForce RTX 5080 Laptop GPU, 71 %, 5202 MiB, 16303 MiB, 64
2026/09/23 21:54:15.149, NVIDIA GeForce RTX 5080 Laptop GPU, 73 %, 5202 MiB, 16303 MiB, 66
2026/09/23 21:54:17.150, NVIDIA GeForce RTX 5080 Laptop GPU, 81 %, 5202 MiB, 16303 MiB, 65
2026/09/23 21:54:19.150, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5202 MiB, 16303 MiB, 64
2026/09/23 21:54:21.150, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5150 MiB, 16303 MiB, 64
2026/09/23 21:54:23.151, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5150 MiB, 16303 MiB, 64
2026/09/23 21:54:25.151, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5150 MiB, 16303 MiB, 66
