timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 20:32:50.962, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5270 MiB, 16303 MiB, 53
2026/09/23 20:32:52.966, NVIDIA GeForce RTX 5080 Laptop GPU, 70 %, 5272 MiB, 16303 MiB, 53
2026/09/23 20:32:54.967, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5220 MiB, 16303 MiB, 54
2026/09/23 20:32:56.967, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5218 MiB, 16303 MiB, 55
2026/09/23 20:32:58.967, NVIDIA GeForce RTX 5080 Laptop GPU, 95 %, 5270 MiB, 16303 MiB, 55
2026/09/23 20:33:00.968, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5270 MiB, 16303 MiB, 57
2026/09/23 20:33:02.968, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5270 MiB, 16303 MiB, 56
2026/09/23 20:33:04.968, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5218 MiB, 16303 MiB, 58
2026/09/23 20:33:06.968, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5270 MiB, 16303 MiB, 59
2026/09/23 20:33:08.969, NVIDIA GeForce RTX 5080 Laptop GPU, 71 %, 5218 MiB, 16303 MiB, 58
2026/09/23 20:33:10.969, NVIDIA GeForce RTX 5080 Laptop GPU, 71 %, 5218 MiB, 16303 MiB, 59
2026/09/23 20:33:12.969, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5218 MiB, 16303 MiB, 58
2026/09/23 20:33:14.969, NVIDIA GeForce RTX 5080 Laptop GPU, 79 %, 5218 MiB, 16303 MiB, 58
2026/09/23 20:33:16.970, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5218 MiB, 16303 MiB, 58
2026/09/23 20:33:18.970, NVIDIA GeForce RTX 5080 Laptop GPU, 55 %, 5167 MiB, 16303 MiB, 59
2026/09/23 20:33:20.971, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5167 MiB, 16303 MiB, 59
2026/09/23 20:33:22.971, NVIDIA GeForce RTX 5080 Laptop GPU, 54 %, 5235 MiB, 16303 MiB, 59
2026/09/23 20:33:24.971, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5285 MiB, 16303 MiB, 59
2026/09/23 20:33:26.972, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5234 MiB, 16303 MiB, 60
2026/09/23 20:33:28.973, NVIDIA GeForce RTX 5080 Laptop GPU, 84 %, 5218 MiB, 16303 MiB, 60
2026/09/23 20:33:30.973, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5218 MiB, 16303 MiB, 60
2026/09/23 20:33:32.973, NVIDIA GeForce RTX 5080 Laptop GPU, 84 %, 5218 MiB, 16303 MiB, 60
2026/09/23 20:33:34.974, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5218 MiB, 16303 MiB, 60
2026/09/23 20:33:36.974, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5218 MiB, 16303 MiB, 60
2026/09/23 20:33:38.974, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5270 MiB, 16303 MiB, 61
