timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:26:35.684, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5340 MiB, 16303 MiB, 59
2026/09/23 21:26:37.687, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5343 MiB, 16303 MiB, 59
2026/09/23 21:26:39.688, NVIDIA GeForce RTX 5080 Laptop GPU, 86 %, 5289 MiB, 16303 MiB, 59
2026/09/23 21:26:41.688, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5335 MiB, 16303 MiB, 60
2026/09/23 21:26:43.688, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5260 MiB, 16303 MiB, 59
2026/09/23 21:26:45.688, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5258 MiB, 16303 MiB, 60
2026/09/23 21:26:47.689, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5260 MiB, 16303 MiB, 60
2026/09/23 21:26:49.689, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5258 MiB, 16303 MiB, 60
2026/09/23 21:26:51.689, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5258 MiB, 16303 MiB, 61
2026/09/23 21:26:53.689, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5311 MiB, 16303 MiB, 61
2026/09/23 21:26:55.689, NVIDIA GeForce RTX 5080 Laptop GPU, 83 %, 5310 MiB, 16303 MiB, 60
2026/09/23 21:26:57.691, NVIDIA GeForce RTX 5080 Laptop GPU, 58 %, 5311 MiB, 16303 MiB, 62
2026/09/23 21:26:59.691, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5315 MiB, 16303 MiB, 61
2026/09/23 21:27:01.691, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5263 MiB, 16303 MiB, 61
2026/09/23 21:27:03.691, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5264 MiB, 16303 MiB, 62
2026/09/23 21:27:05.692, NVIDIA GeForce RTX 5080 Laptop GPU, 85 %, 5258 MiB, 16303 MiB, 62
2026/09/23 21:27:07.692, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5260 MiB, 16303 MiB, 61
2026/09/23 21:27:09.692, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5309 MiB, 16303 MiB, 62
2026/09/23 21:27:11.693, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5309 MiB, 16303 MiB, 62
2026/09/23 21:27:13.693, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5260 MiB, 16303 MiB, 62
2026/09/23 21:27:15.693, NVIDIA GeForce RTX 5080 Laptop GPU, 72 %, 5258 MiB, 16303 MiB, 63
2026/09/23 21:27:17.694, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5260 MiB, 16303 MiB, 62
2026/09/23 21:27:19.694, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5310 MiB, 16303 MiB, 62
2026/09/23 21:27:21.694, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5258 MiB, 16303 MiB, 63
2026/09/23 21:27:23.694, NVIDIA GeForce RTX 5080 Laptop GPU, 78 %, 5260 MiB, 16303 MiB, 63
2026/09/23 21:27:25.695, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5258 MiB, 16303 MiB, 63
2026/09/23 21:27:27.695, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5208 MiB, 16303 MiB, 63
2026/09/23 21:27:29.696, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5258 MiB, 16303 MiB, 63
2026/09/23 21:27:31.696, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5258 MiB, 16303 MiB, 64
2026/09/23 21:27:33.697, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5311 MiB, 16303 MiB, 63
2026/09/23 21:27:35.697, NVIDIA GeForce RTX 5080 Laptop GPU, 61 %, 5258 MiB, 16303 MiB, 63
2026/09/23 21:27:37.697, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5311 MiB, 16303 MiB, 63
2026/09/23 21:27:39.698, NVIDIA GeForce RTX 5080 Laptop GPU, 85 %, 5258 MiB, 16303 MiB, 64
2026/09/23 21:27:41.698, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5258 MiB, 16303 MiB, 64
2026/09/23 21:27:43.698, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5260 MiB, 16303 MiB, 64
2026/09/23 21:27:45.699, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5207 MiB, 16303 MiB, 64
2026/09/23 21:27:47.699, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5260 MiB, 16303 MiB, 64
2026/09/23 21:27:49.699, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5207 MiB, 16303 MiB, 64
2026/09/23 21:27:51.700, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5235 MiB, 16303 MiB, 65
2026/09/23 21:27:53.700, NVIDIA GeForce RTX 5080 Laptop GPU, 75 %, 5285 MiB, 16303 MiB, 65
2026/09/23 21:27:55.700, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5286 MiB, 16303 MiB, 65
2026/09/23 21:27:57.700, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5235 MiB, 16303 MiB, 64
2026/09/23 21:27:59.701, NVIDIA GeForce RTX 5080 Laptop GPU, 69 %, 5233 MiB, 16303 MiB, 64
2026/09/23 21:28:01.701, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5278 MiB, 16303 MiB, 65
2026/09/23 21:28:03.701, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5306 MiB, 16303 MiB, 65
2026/09/23 21:28:05.701, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5304 MiB, 16303 MiB, 67
2026/09/23 21:28:07.702, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5424 MiB, 16303 MiB, 65
2026/09/23 21:28:09.702, NVIDIA GeForce RTX 5080 Laptop GPU, 72 %, 5471 MiB, 16303 MiB, 65
2026/09/23 21:28:11.702, NVIDIA GeForce RTX 5080 Laptop GPU, 61 %, 5351 MiB, 16303 MiB, 65
2026/09/23 21:28:13.703, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5326 MiB, 16303 MiB, 65
2026/09/23 21:28:15.703, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5340 MiB, 16303 MiB, 66
2026/09/23 21:28:17.704, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5301 MiB, 16303 MiB, 66
2026/09/23 21:28:19.704, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5301 MiB, 16303 MiB, 66
2026/09/23 21:28:21.704, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5301 MiB, 16303 MiB, 66
2026/09/23 21:28:23.704, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5301 MiB, 16303 MiB, 66
2026/09/23 21:28:25.704, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5353 MiB, 16303 MiB, 66
2026/09/23 21:28:27.705, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5301 MiB, 16303 MiB, 67
2026/09/23 21:28:29.705, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5301 MiB, 16303 MiB, 67
2026/09/23 21:28:31.705, NVIDIA GeForce RTX 5080 Laptop GPU, 87 %, 5301 MiB, 16303 MiB, 67
2026/09/23 21:28:33.705, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5250 MiB, 16303 MiB, 67
2026/09/23 21:28:35.705, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5250 MiB, 16303 MiB, 67
2026/09/23 21:28:37.706, NVIDIA GeForce RTX 5080 Laptop GPU, 85 %, 5250 MiB, 16303 MiB, 67
